Date,Description,Amount,Balance,Category
2026-05-01,Client ACME Corp Revenue Deposit,12500.0,62500.0,Revenue
2026-05-02,Office Rent Payment,-3200.0,59300.0,Rent
2026-05-05,AWS Cloud Services Hosting,-850.0,58450.0,Software
2026-05-05,Google Workspace Email,-120.0,58330.0,Software
2026-05-10,Vendor Stark Industries Materials,-4500.0,53830.0,COGS
2026-05-15,Monthly Payroll,-8000.0,45830.0,Payroll
2026-05-18,Office Supplies Depot,-350.0,45480.0,Office Expense
2026-05-20,Client Wayne Enterprises Revenue Deposit,15000.0,60480.0,Revenue
2026-05-22,Electric Utility Bill,-450.0,60030.0,Utilities
2026-05-25,Facebook Ad Campaigns,-1500.0,58530.0,Marketing
2026-05-28,Director Cash Withdrawal (Unexplained),-5000.0,53530.0,Anomaly
2026-06-01,Client ACME Corp Revenue Deposit,12500.0,66030.0,Revenue
2026-06-02,Office Rent Payment,-3200.0,62830.0,Rent
2026-06-05,AWS Cloud Services Hosting,-850.0,61980.0,Software
2026-06-05,Google Workspace Email,-120.0,61860.0,Software
2026-06-06,AWS Cloud Services Hosting (Duplicate),-850.0,61010.0,Software
2026-06-10,Vendor Stark Industries Materials,-6000.0,55010.0,COGS
2026-06-15,Monthly Payroll,-8000.0,47010.0,Payroll
2026-06-18,Office Supplies Depot,-220.0,46790.0,Office Expense
2026-06-20,Client Wayne Enterprises Revenue Deposit,15000.0,61790.0,Revenue
2026-06-22,Electric Utility Bill,-900.0,60890.0,Utilities
2026-06-25,Facebook Ad Campaigns,-3000.0,57890.0,Marketing
2026-07-01,Client ACME Corp Revenue Deposit,12500.0,70390.0,Revenue
2026-07-02,Office Rent Payment,-3200.0,67190.0,Rent
2026-07-05,AWS Cloud Services Hosting,-850.0,66340.0,Software
2026-07-05,Google Workspace Email,-120.0,66220.0,Software
2026-07-10,Vendor Stark Industries Materials,-7500.0,58720.0,COGS
2026-07-15,Monthly Payroll,-8000.0,50720.0,Payroll
2026-07-18,Office Supplies Depot,-180.0,50540.0,Office Expense
2026-07-22,Electric Utility Bill,-480.0,50060.0,Utilities
2026-07-25,Facebook Ad Campaigns,-1500.0,48560.0,Marketing
